時刻,平日
7,"

[普通]川
00


[普通]川
21


[普通]拝
34


[普通]川
47

"
8,"

[普通]川
00


[普通]拝
12


[普通]川
27


[普通]拝
37


[普通]川
51

"
9,"

[普通]川
12


[普通]川
40

"
10,"

[普通]川
18


[普通]川
48

"
11,"

[普通]川
18


[普通]川
48

"
12,"

[普通]川
18


[普通]川
48

"
13,"

[普通]川
18


[普通]川
48

"
14,"

[普通]川
18


[普通]川
48

"
15,"

[普通]川
18


[普通]川
48

"
16,"

[普通]川
18


[普通]箱崎
36


[普通]川
57

"
17,"

[普通]川
17


[普通]拝
33


[普通]川
57

"
18,"

[普通]川
10


[普通]拝
23


[普通]川
46

"
19,"

[普通]川
06


[普通]川
28


[普通]川
48

"
20,"

[普通]拝
11


[普通]川
31

"
21,"

[普通]川
07


[普通]川
38

"
22,"

[普通]川
07


[普通]川
38

"
23,"

[普通]麗
14

"
