キャンパス発,駅　着　発,キャンパス着,備　　考
07:21,07:28,07:38,
07:35,07:42,07:52,
07:40,07:47,07:57,
07:47,07:54,08:04,
07:56,08:03,08:13,
08:06,08:13,08:23,
～,～,～,シャトル運行（約3～5分間隔）
09:11,09:18,09:28,
09:22,09:29,09:39,
09:31,09:38,09:48,
09:43,09:50,10:00,
09:50,09:57,10:07,
09:59,10:06,10:16,
10:08,10:15,10:25,
10:14,10:21,10:31,
10:21,10:28,10:38,
10:31,10:38,10:48,
10:37,10:44,10:54,
10:46,10:53,11:03,
10:52,10:59,11:09,
11:06,11:13,11:23,
11:11,11:18,11:28,
11:26,11:33,11:43,
11:32,11:39,11:49,
11:46,11:53,12:03,
11:53,12:00,12:10,
12:03,12:10,12:20,
12:08,12:15,12:25,
12:13,12:20,12:30,
12:18,12:25,12:35,
12:23,12:30,12:40,
12:28,12:35,12:45,
12:33,12:40,12:50,
12:38,12:45,12:55,
12:43,12:50,13:00,
12:53,13:00,13:10,
13:06,13:13,13:23,
13:12,13:19,13:29,
13:26,13:33,13:43,
13:32,13:39,13:49,
13:46,13:53,14:03,
13:52,13:59,14:09,
14:06,14:13,14:23,
14:12,14:19,14:29,
14:26,14:33,14:43,
14:32,14:39,14:49,
14:46,14:53,15:03,
14:52,14:59,15:09,
15:04,15:11,15:21,
15:16,15:23,15:33,
15:24,15:31,15:41,
～,～,～,シャトル運行（約5～10分間隔）
16:55,17:02,17:12,
17:03,17:10,17:20,
17:12,17:19,17:29,
～,～,～,シャトル運行（約5～10分間隔）
17:45,17:52,18:02,
17:55,18:02,18:12,
18:03,18:10,18:20,
～,～,～,シャトル運行（約5～10分間隔）
18:48,18:55,19:05,
18:55,19:02,19:12,
19:04,19:11,19:21,
19:10,19:17,19:27,
19:18,19:25,19:35,
19:29,19:36,19:46,
19:40,19:47,19:57,
19:49,19:56,20:06,
20:00,20:07,20:17,
20:09,20:16,20:26,
20:22,20:29,20:39,
20:31,20:38,20:48,
20:41,20:48,20:58,
20:50,20:57,21:07,
21:03,21:10,21:20,
21:13,21:20,21:30,
21:20,21:27,21:35,
